pdb_code,binding_affinity,binding_free_energy
4dzv,Ki=11nM,-10.85
4eee,Kd=0.2nM,-13.223
4ehq,Kd=1.3uM,-8.024
4eig,Kd=1nM,-12.27
4ekc,Kd=22nM,-10.44
4ekd,Kd=22nM,-10.44
4eoz,Kd=1uM,-8.18
4etp,Kd=0.37uM,-8.768
4etw,Kd=3.1uM,-7.51
4euk,Kd=4.1uM,-7.344
4exp,Kd=500nM,-8.59
4f38,Kd=2.9nM,-11.639
4f48,Kd=3.2uM,-7.491
4f9l,Kd=66nM,-9.789
4f9p,Kd=15nM,-10.666
4fq0,Kd=0.87uM,-8.262
4ft4,Kd=0.5uM,-8.59
4fza,Kd=99.1nM,-9.548
4fzv,Kd=13.3nM,-10.738
4g01,Kd=3.4uM,-7.455
4g35,Ki=54nM,-9.908
4g6u,Kd=17.8nM,-10.565
4gaf,Kd=1.8pM,-16.012
4geh,Kd=11.7nM,-10.813
4gh7,Kd=5.77nM,-11.232
4gi3,Ki=0.68nM,-12.498
4giq,Kd=2.09uM,-7.743
4gla,Kd=35.3uM,-6.07
4gn4,Kd=0.253uM,-8.994
4h2s,Kd=21.5uM,-6.363
4h2w,Kd=1.73uM,-7.855
4h3p,Kd=2uM,-7.769
4h5s,Kd=12.5uM,-6.684
4h6j,Kd=190nM,-9.163
4hcn,Kd=106.7uM,-5.415
4hcp,Kd=9.4uM,-6.853
4hdo,Kd=0.36uM,-8.785
4hep,Kd=300nM,-8.893
4hff,Kd=0.269nM,-13.047
4hgk,Kd=0.19nM,-13.253
4hgm,Kd=16nM,-10.628
4hnj,Kd=3nM,-11.619
4hrl,Kd=1nM,-12.27
4i0c,Kd=460nM,-8.64
4i6l,Kd=20nM,-10.496
4i9x,Kd=5.96nM,-11.213
4ihh,Kd=59nM,-9.855
4ika,Kd=57.5uM,-5.781
4iop,Kd=0.67nM,-12.507
4iu3,Kd=20.83nM,-10.472
4iyp,Kd=0.3uM,-8.893
4j2y,Ki=0.88nM,-12.345
4j32,Kd=1.28nM,-12.124
4je4,Kd=14nM,-10.707
4jeg,Kd=12nM,-10.798
4jeh,Kd=8.1nM,-11.031
4jeu,Kd=1.4nM,-12.07
4jra,Kd=28nM,-10.297
4js0,Kd=5uM,-7.227
4jw2,Kd=3.7nM,-11.495
4jw3,Kd=1450nM,-7.96
4jzw,Kd=15.4pM,-14.741
4k0a,Kd=0.18nM,-13.285
4k1r,Kd=10.2uM,-6.805
4k5a,Kd=10.3nM,-10.889
4ka2,Kd=8.4pM,-15.1
4kbb,Kd=0.18uM,-9.195
4kdi,Kd=0.71uM,-8.383
4kfz,Kd=94nM,-9.58
4kr0,Kd=16.7nM,-10.603
4krl,Kd=47nM,-9.99
4ksd,IC50=520nM,-8.567
4kt1,Kd=56.5nM,-9.881
4kt3,Kd=0.26nM,-13.067
4kvg,Kd=0.7uM,-8.391
4l0p,Kd=9nM,-10.969
4l67,Kd=0.32uM,-8.854
4lad,Kd=38nM,-10.116
4lgr,Kd=0.11nM,-13.577
4lrx,Kd=15uM,-6.576
4lzx,Kd=5.07nM,-11.309
4m0w,Kd=6.7uM,-7.054
4m1l,Kd=0.18uM,-9.195
4m5f,Kd=13.5pM,-14.819
4mi8,Kd=1.38uM,-7.989
4mp0,Kd=8.7nM,-10.989
4mqv,Kd=2.9uM,-7.549
4mrt,Kd=0.92uM,-8.229
4msm,Kd=3uM,-7.529
4n7v,Kd=32nM,-10.218
4n7z,Kd=177nM,-9.205
4nm3,Ki=60uM,-5.756
4nqw,Kd=0.42uM,-8.693
4nso,Kd=0.98nM,-12.282
4nu1,Ki=60uM,-5.756
4nzl,Kd=25nM,-10.364
4nzw,Kd=504nM,-8.585
4ofy,Kd=0.602uM,-8.48
4ojk,Kd=22uM,-6.35
4ol0,Kd=4.7nM,-11.353
4p3y,Kd=146nM,-9.319
4pas,Kd=126.6nM,-9.403
4pbw,Kd=551nM,-8.533
4pbz,Kd=0.05uM,-9.953
4pc0,Kd=0.2uM,-9.133
4per,Kd=1fM,-20.45
4pgj,Kd=26nM,-10.341
4plo,Kd=0.038uM,-10.116
4pou,Kd=157nM,-9.276
4pqt,Kd=1.1uM,-8.123
4pw9,Kd=13.5uM,-6.639
4pz6,Kd=0.21uM,-9.104
4qlb,Kd=1.6uM,-7.902
4qlp,Kd=0.23nM,-13.14
4qxa,Kd=0.32uM,-8.854
4qzv,Kd=35.7uM,-6.063
4re1,Kd=1.2uM,-8.072
4rey,Kd=108nM,-9.498
4rs1,Kd=23.9nM,-10.391
4rt6,Kd=13.2nM,-10.742
4rws,IC50=6nM,-11.209
4s0s,Kd=11.4nM,-10.829
4tq0,Kd=6.9uM,-7.036
4tq1,Kd=350uM,-4.711
4u2x,Kd=1nM,-12.27
4u30,Ki=138nM,-9.352
4u32,Ki=379nM,-8.754
4u4c,Kd=310nM,-8.873
4udm,Kd=4nM,-11.449
4uem,Kd=6.4nM,-11.171
4uf1,Kd=6.98uM,-7.029
4uwx,Kd=6.9uM,-7.036
4uyq,Kd=14pM,-14.797
4w6w,Kd=3.57nM,-11.516
4w6x,Kd=5.25nM,-11.288
4w6y,Kd=1.58nM,-11.999
4wem,Kd=6.8uM,-7.045
4wen,Kd=0.1uM,-9.543
4wnd,Kd=32.9nM,-10.201
4x33,Kd=0.25uM,-9.001
4x7d,Kd=3.5nM,-11.528
4x7e,Kd=7nM,-11.118
4x7f,Kd=28nM,-10.297
4x7s,Kd=10nM,-10.906
4xl1,Kd=304nM,-8.885
4xl5,Kd=1.4nM,-12.07
4xlw,Kd=262nM,-8.973
4xwj,Kd=4.45nM,-11.386
4xxb,Kd=1.48uM,-7.948
4xxw,Kd=5.12uM,-7.213
4y5o,Kd=1.4uM,-7.981
4y61,Kd=355.5nM,-8.792
4yc7,Kd=1.89uM,-7.803
4ydh,Kd=2.55uM,-7.626
4yeb,Kd=17nM,-10.592
4yh7,Kd=0.15uM,-9.303
4yiz,Kd=8nM,-11.039
4yj4,Kd=9.9nM,-10.912
4yl8,Kd=5.4uM,-7.181
4yn0,Kd=85nM,-9.639
4yoc,Kd=0.6uM,-8.482
4yvq,Kd=2.03uM,-7.761
4yyp,Kd=280nM,-8.933
4z80,Kd=12nM,-10.798
4z9k,Kd=2.2nM,-11.803
4zgm,IC50=0.38nM,-12.843
4zgq,Kd=2.5uM,-7.637
4zgy,Kd=0.7uM,-8.391
4zi2,Kd=0.42uM,-8.693
4zii,IC50=66nM,-9.789
4zk9,Kd=0.24nM,-13.115
4zkc,Kd=0.22nM,-13.166
4zqu,Kd=16nM,-10.628
4zrj,Kd=2.9uM,-7.549
4zw2,Kd=4.9nM,-11.329
5aam,Kd=3.8nM,-11.479
5aaw,Kd=4.32nM,-11.403
5agw,IC50=10.2nM,-10.895
5ajj,Kd=3220nM,-7.487
5ajk,Kd=2640nM,-7.605
5ayr,Kd=1.959nM,-11.872
5b64,Kd=70nM,-9.754
5b75,Kd=10uM,-6.816
5b76,Kd=5.8uM,-7.139
5b77,Kd=10.8uM,-6.771
5b78,Kd=1.88uM,-7.806
5bn5,Kd=11uM,-6.76
5bnq,Kd=0.156nM,-13.37
5boz,Kd=0.7nM,-12.481
5c3f,IC50=1.6uM,-7.902
5c67,Ki=89pM,-13.702
5chv,Kd=1.49uM,-7.944
5ctr,Kd=0.88uM,-8.255
5cx3,Kd=0.54uM,-8.545
5cxb,Kd=9.19nM,-10.956
5cyk,Kd=249nM,-9.003
5czf,Kd=100pM,-13.633
5d1k,Kd=180nM,-9.195
5d1l,Kd=141nM,-9.34
5d1m,Kd=62nM,-9.826
5d28,Kd=27nM,-10.318
5d3i,Kd=0.6nM,-12.572
5dc4,Kd=35nM,-10.165
5dcq,Kd=0.18uM,-9.195
5dfw,Kd=0.5nM,-12.68
5djt,Kd=17nM,-10.592
5dju,Kd=11.4nM,-10.829
5dmj,Kd=5.3nM,-11.282
5dob,Kd=1uM,-8.18
5e6p,Kd=2uM,-7.769
5e95,Kd=15.7nM,-10.639
5eb1,Kd=140nM,-9.344
5ee5,Kd=26uM,-6.251
5eg3,Kd=0.135uM,-9.365
5elu,Kd=414nM,-8.702
5eo9,Kd=0.37uM,-8.768
5eql,Kd=68nM,-9.771
5et1,Kd=107nM,-9.503
5f3x,Kd=3.11nM,-11.598
5f4e,Kd=48nM,-9.978
5f5s,Kd=22nM,-10.44
5fr1,Kd=3.3uM,-7.473
5fr2,Kd=141nM,-9.34
5ft8,Kd=117nM,-9.45
5fw5,Kd=80nM,-9.675
5fzt,Kd=48uM,-5.888
5g15,Kd=0.17uM,-9.229
5g1x,Kd=12.1uM,-6.704
5gjk,Kd=0.12uM,-9.435
5glh,Kd=20.7pM,-14.566
5gpg,IC50=2.61nM,-11.702
5gtb,Kd=46uM,-5.913
5gy2,IC50=204pM,-13.211
5h3j,Kd=0.27uM,-8.955
5h7y,Kd=125nM,-9.411
5h9b,Kd=674.1nM,-8.413
5hpk,Kd=9.7nM,-10.924
5hps,Kd=322.9nM,-8.849
5hu3,Kd=1uM,-8.18
5hvf,Kd=0.03nM,-14.346
5ij0,Kd=7.9uM,-6.956
5ij9,Kd=13.4uM,-6.643
5imk,Kd=850nM,-8.276
5imm,Kd=3.5nM,-11.528
5imt,Kd=367nM,-8.773
5inb,Kd=123nM,-9.421
5ip4,Kd=451nM,-8.651
5ixd,Kd=70.5nM,-9.75
5j28,Kd=193nM,-9.154
5j56,Kd=3.2nM,-11.581
5j57,Kd=0.02nM,-14.586
5j8h,Kd=153nM,-9.291
5jds,Kd=3nM,-11.619
5jg6,Kd=1.6uM,-7.902
5jjd,Kd=9.2uM,-6.866
5jke,Kd=91nM,-9.599
5jsn,Kd=0.8uM,-8.312
5jw7,Kd=9.09uM,-6.873
5jw9,Kd=0.086uM,-9.632
5k22,Kd=25nM,-10.364
5k8q,Kd=0.9nM,-12.332
5kho,Kd=0.9uM,-8.242
5kve,Kd=35nM,-10.165
5kxh,Kd=0.49uM,-8.602
5ky0,Kd=6.5uM,-7.072
5ky4,Kd=10uM,-6.816
5ky5,Kd=0.79uM,-8.319
5ky9,Kd=5.9uM,-7.129
5l21,Kd=3.7nM,-11.495
5l8j,Kd=2uM,-7.769
5lgk,Kd=1.2uM,-8.072
5lhn,Kd=11.2nM,-10.839
5li1,Kd=0.47uM,-8.627
5lrw,Kd=9.3uM,-6.859
5lxm,Kd=0.18uM,-9.195
5lxq,Kd=0.64uM,-8.444
5lz3,Kd=19uM,-6.436
5lz6,Kd=8uM,-6.949
5m2j,Kd=0.13nM,-13.478
5m2m,Kd=1.5nM,-12.03
5m36,Kd=2.75uM,-7.581
5m72,Kd=33nM,-10.2
5ma3,Kd=38pM,-14.206
5ma4,Kd=52pM,-14.02
5ma6,Kd=303pM,-12.977
5mak,Kd=29pM,-14.366
5me5,Kd=2.15uM,-7.727
5ml9,Kd=217nM,-9.084
5mr4,Kd=220nM,-9.076
5mr5,Kd=80nM,-9.675
5mrv,Ki=3.8uM,-7.389
5mtj,Kd=338nM,-8.822
5mtm,Kd=7.0nM,-11.118
5mtn,Kd=23.5nM,-10.401
5mv8,Kd=1.4uM,-7.981
5mv9,Kd=1uM,-8.18
5my6,Kd=3.99nM,-11.45
5npo,Kd=0.95uM,-8.21
5nqf,Kd=169nM,-9.232
5nqg,Kd=50nM,-9.953
5nt1,Kd=16.1uM,-6.535
5nt7,Kd=10.6uM,-6.782
5nus,Kd=11nM,-10.85
5nvm,Kd=14nM,-10.707
5nwm,Kd=0.04uM,-10.086
5o05,Kd=0.81nM,-12.394
5o0w,Kd=73.83pM,-13.813
5o2t,Kd=167nM,-9.239
5o2u,Kd=0.69nM,-12.489
5o90,Kd=1.1uM,-8.123
5oaq,Kd=58nM,-9.866
5odw,Kd=240pM,-13.115
5oen,Kd=10nM,-10.906
5omb,Kd=0.43uM,-8.679
5omn,Kd=9.5nM,-10.937
5otx,IC50=187nM,-9.172
5oy9,Kd=3.75uM,-7.397
5oyl,Kd=7.5uM,-6.987
5swk,Kd=2.57uM,-7.621
5szh,Kd=5.2uM,-7.204
5szi,Kd=253nM,-8.994
5szj,Kd=790uM,-4.229
5szk,Kd=1.1uM,-8.123
5t0f,IC50=58nM,-9.866
5tar,Kd=2.3uM,-7.687
5tl6,Kd=57.6uM,-5.78
5tl7,Kd=1870uM,-3.719
5tp6,Kd=1.9nM,-11.89
5tvq,Kd=0.88uM,-8.255
5twa,Kd=66nM,-9.789
5tzp,Kd=30nM,-10.256
5tzq,Kd=16nM,-10.628
5u4k,Kd=15uM,-6.576
5u4m,Kd=0.39nM,-12.827
5u4y,Kd=25nM,-10.364
5u52,Kd=27nM,-10.318
5ua4,Kd=26nM,-10.341
5ufe,Kd=50.3nM,-9.95
5uk5,Kd=0.81uM,-8.305
5un5,Kd=18nM,-10.558
5un7,Kd=120nM,-9.435
5uul,Ki=4.8nM,-11.341
5uwc,Kd=17.8nM,-10.565
5uzu,Kd=10nM,-10.906
5v52,Kd=3.7uM,-7.405
5v5h,Kd=158nM,-9.272
5v62,IC50=25nM,-10.364
5v69,Kd=35.9nM,-10.15
5v6a,Kd=53.2nM,-9.917
5vkl,Kd=113nM,-9.471
5vko,Kd=4nM,-11.449
5vmo,Kd=887nM,-8.251
5vwy,Kd=1.3uM,-8.024
5vx0,Kd=21uM,-6.377
5vx3,Kd=0.4nM,-12.812
5vxz,Kd=720fM,-16.554
5vz4,Kd=8nM,-11.039
5vzm,Kd=48.8uM,-5.878
5w3x,Kd=3.37uM,-7.46
5w89,IC50=25nM,-10.364
5wb7,Kd=0.76uM,-8.342
5wgg,Kd=0.7uM,-8.391
5wos,Kd=353nM,-8.796
5wpa,Kd=0.55uM,-8.534
5wrv,Kd=0.73uM,-8.366
5wuj,Kd=422nM,-8.691
5wy2,Kd=0.54uM,-8.545
5x0w,Kd=3.7uM,-7.405
5xbf,Kd=1.7uM,-7.866
5xco,Kd=8.9nM,-10.975
5xda,Kd=1.6uM,-7.902
5xeq,Kd=0.4nM,-12.812
5xiu,Kd=25uM,-6.274
5xjg,Kd=4.52uM,-7.287
5xln,Kd=2.48uM,-7.642
5xnp,Kd=281.8nM,-8.93
5xoc,Kd=8uM,-6.949
5xod,Kd=28.1nM,-10.295
5xqz,Kd=12.3uM,-6.694
5xv8,Kd=71.4nM,-9.743
5xwt,Kd=14.4uM,-6.601
5y1z,Kd=4.3uM,-7.316
5yi8,Kd=1.8uM,-7.832
5yip,Kd=3.7nM,-11.495
5yqz,IC50=8.1nM,-11.031
5yr0,Kd=7.6uM,-6.979
5ywr,Kd=39nM,-10.101
5z2w,Kd=0.67uM,-8.417
5z78,Kd=0.9uM,-8.242
5zau,Kd=60nM,-9.846
5zo2,Kd=1.1uM,-8.123
5zqv,Kd=0.26uM,-8.977
6aaf,Kd=161nM,-9.261
6akm,Kd=6.9uM,-7.036
6amb,Kd=17.8uM,-6.475
6arq,Kd=10.2uM,-6.805
6atk,Kd=0.43uM,-8.679
6aw2,Kd=57nM,-9.876
6azp,Kd=35.1nM,-10.163
6b12,Kd=8.1nM,-11.031
6ba6,Kd=162uM,-5.168
6bmt,Kd=310nM,-8.873
6bw9,Kd=4.39nM,-11.394
6bx8,Ki=0.2uM,-9.133
6bxa,Kd=40nM,-10.086
6cbp,Kd=7uM,-7.028
6cwg,Kd=0.102nM,-13.621
6d13,Kd=9.3nM,-10.949
6d4p,IC50=65nM,-9.798
6dcn,Kd=1.4uM,-7.981
6dgf,IC50=9.5nM,-10.937
6dsl,Kd=500pM,-12.68
6dwf,Ki=1.3nM,-12.114
6dwh,Ki=0.2nM,-13.223
6e2p,Kd=18.7uM,-6.446
6e3i,Kd=3.21nM,-11.579
6e3j,Kd=13.98nM,-10.708
6eg0,Kd=77.7uM,-5.603
6eg1,Kd=76.6uM,-5.611
6ejm,Kd=0.86nM,-12.359
6er6,Kd=51nM,-9.942
6f0f,Kd=0.18uM,-9.195
6f0g,Kd=0.055uM,-9.897
6f2g,Kd=3.9nM,-11.464
6f3z,Kd=405nM,-8.715
6f9s,Kd=1.62uM,-7.894
6fbx,Kd=343nM,-8.813
6fc3,Kd=20nM,-10.496
6ff3,Kd=13.6nM,-10.724
6fg8,Kd=0.98uM,-8.192
6fp7,Kd=3nM,-11.619
6fpg,Kd=101.9nM,-9.532
6fq0,Kd=160nM,-9.265
6fub,Kd=29nM,-10.276
6fud,Kd=73nM,-9.729
6fuz,Kd=3.19uM,-7.493
6fv0,Kd=1.72uM,-7.859
6g04,Kd=0.7uM,-8.391
6gbg,Kd=417nM,-8.698
6gbh,Kd=69nM,-9.763
6gd5,Kd=3.8nM,-11.479
6gfi,Ki=494pM,-12.687
6gho,Kd=0.8uM,-8.312
6gjq,Kd=25nM,-10.364
6gum,Kd=1.2uM,-8.072
6gvk,Kd=2.0uM,-7.769
6gvl,Kd=44uM,-5.939
6h16,Kd=31.8nM,-10.221
6h46,Kd=30nM,-10.256
6h47,Kd=10nM,-10.906
6h71,Kd=43.4nM,-10.037
6h9n,Kd=0.8uM,-8.312
6har,Ki=61pM,-13.926
6her,Kd=40nM,-10.086
6ht9,Ki=0.1nM,-13.633
6hul,Kd=0.3uM,-8.893
6i07,Kd=10nM,-10.906
6i2m,Kd=5.31nM,-11.281
6i3f,Kd=20.3nM,-10.487
6ib8,Kd=94nM,-9.58
6idx,Kd=3.36uM,-7.462
6ihb,Kd=57nM,-9.876
6im9,Kd=25nM,-10.364
6imf,Kd=24nM,-10.388
6in9,Kd=1.2uM,-8.072
6ird,Kd=0.21uM,-9.104
6ire,Kd=10.6nM,-10.872
6isc,Kd=2.4uM,-7.661
6iu7,Kd=0.9nM,-12.332
6iua,Kd=2.0nM,-11.859
6ivu,Kd=11pM,-14.94
6iw8,Kd=332nM,-8.833
6iwa,Kd=126nM,-9.406
6iwd,Kd=18.2nM,-10.552
6j4o,Kd=18nM,-10.558
6j4s,Kd=0.16uM,-9.265
6j56,Kd=0.67uM,-8.417
6j7w,Kd=0.3nM,-12.983
6j9h,Kd=42nM,-10.057
6jb2,Kd=295nM,-8.903
6jb8,Kd=0.129nM,-13.482
6jcs,Kd=0.287uM,-8.919
6jjw,Kd=8.2nM,-11.024
6jwj,Kd=85.7nM,-9.634
6k06,Kd=227nM,-9.058
6k4k,Kd=6.51nM,-11.161
6kbm,Kd=0.60uM,-8.482
6kbn,Kd=1.46uM,-7.956
6kbr,Kd=8.91pM,-15.065
6m7l,Kd=10.4uM,-6.793
6m9k,Kd=12uM,-6.709
6mav,Ki=33.5pM,-14.281
6mba,Kd=17nM,-10.592
6mc9,Kd=305nM,-8.883
6mkz,Kd=0.2nM,-13.223
6mm6,Kd=73.5uM,-5.635
6mud,Kd=1.02uM,-8.168
6n85,Kd=0.24uM,-9.025
6n9d,Ki=17.8pM,-14.655
6ndz,Kd=0.2nM,-13.223
6ne1,Kd=1.4nM,-12.07
6ne2,Kd=1.3nM,-12.114
6ne4,Kd=1.6nM,-11.991
6o3o,Kd=1.8uM,-7.832
6oan,IC50=4.88nM,-11.331
6obn,Kd=30.4nM,-10.248
6on9,Kd=10uM,-6.816
6oqj,Kd=9nM,-10.969
6oqk,Kd=42nM,-10.057
6oqq,Kd=28nM,-10.297
6osw,Kd=2uM,-7.769
6ov2,Kd=3.58nM,-11.515
6p7s,Kd=0.24nM,-13.115
6p7y,Kd=0.56nM,-12.613
6plm,Kd=89.6nM,-9.608
6pnp,Kd=299.2nM,-8.894
6pnq,Kd=49nM,-9.965
6q69,Kd=0.17uM,-9.229
6qb3,Kd=2.38uM,-7.666
6r2g,Kd=0.758pM,-16.524
6s29,Kd=7.75nM,-11.057
6saz,Ki=0.14nM,-13.434
6umt,Kd=2.6nM,-11.704
